puma,month,day_group,ridership
4409,6,weekday,602761.01
4409,6,weekend,103106.0
4410,6,total,772479.0
4410,6,weekday,632404.34
4410,6,weekend,140074.67
4412,6,total,2570156.33
4412,6,weekday,2167445.0
4412,6,weekend,402711.32
4414,6,total,508660.33
4414,6,weekday,390339.68
4414,6,weekend,118320.66
4103,7,total,2733292.33
4103,7,weekday,2174813.67
4103,7,weekend,558478.68
4104,7,total,4355995.34
4104,7,weekday,3554185.01
4104,7,weekend,801810.32
4107,7,total,7306428.0
4107,7,weekday,5930022.51
4107,7,weekend,1376405.5
4108,7,total,5969674.99
4108,7,weekday,5019934.0
4108,7,weekend,949741.0
4109,7,total,2578634.33
4109,7,weekday,2078627.33
4109,7,weekend,500006.99
4110,7,total,1912580.0
4110,7,weekday,1527897.33
4110,7,weekend,384682.67
4111,7,total,2126781.0
4111,7,weekday,1723897.0
4111,7,weekend,402884.01
4112,7,total,3144009.17
4112,7,weekday,2552849.16
4112,7,weekend,591160.0
4121,7,total,15857856.34
4121,7,weekday,13331714.66
4121,7,weekend,2526141.67
4165,7,total,31210207.0
4165,7,weekday,26382323.32
4165,7,weekend,4827883.66
4204,7,total,1762683.01
4204,7,weekday,1386186.17
4204,7,weekend,376496.84
4205,7,total,1344225.33
4205,7,weekday,1079846.66
4205,7,weekend,264378.67
4207,7,total,1466597.67
4207,7,weekday,1184439.68
4207,7,weekend,282158.0
4208,7,total,616480.5
4208,7,weekday,532258.5
4208,7,weekend,84222.01
4209,7,total,817648.33
4209,7,weekday,662348.0
4209,7,weekend,155300.34
4210,7,total,695887.33
4210,7,weekday,579963.33
4210,7,weekend,115924.0
4211,7,total,586663.01
4211,7,weekday,502440.68
4211,7,weekend,84222.33
4212,7,total,953791.66
4212,7,weekday,796228.67
4212,7,weekend,157562.99
4221,7,total,2469871.66
4221,7,weekday,2027446.99
4221,7,weekend,442424.67
4263,7,total,721335.67
4263,7,weekday,579013.99
4263,7,weekend,142321.67
4301,7,total,3107370.99
4301,7,weekday,2472533.33
4301,7,weekend,634837.68
4302,7,total,4672331.99
4302,7,weekday,3913664.33
4302,7,weekend,758667.67
4303,7,total,2127739.67
4303,7,weekday,1702105.99
4303,7,weekend,425633.67
4304,7,total,1989936.0
4304,7,weekday,1584650.33
4304,7,weekend,405285.66
4305,7,total,1513399.66
4305,7,weekday,1238509.0
4305,7,weekend,274890.66
4306,7,total,2559482.66
4306,7,weekday,2082522.01
4306,7,weekend,476960.66
4307,7,total,1854634.67
