complex_id,month,day_group,ridership
273,1,total,317092.0
273,1,weekday,272510.5
273,1,weekend,44581.5
276,1,total,627619.5
276,1,weekday,577688.5
276,1,weekend,49931.0
277,1,total,421723.5
277,1,weekday,377051.5
277,1,weekend,44672.0
278,1,total,842739.0
278,1,weekday,754269.0
278,1,weekend,88470.0
279,1,total,556661.0
279,1,weekday,482180.0
279,1,weekend,74481.0
280,1,total,114913.5
280,1,weekday,101269.0
280,1,weekend,13644.5
282,1,total,49006.0
282,1,weekday,39712.0
282,1,weekend,9294.0
283,1,total,250221.5
283,1,weekday,210583.5
283,1,weekend,39638.0
284,1,total,240713.0
284,1,weekday,205487.0
284,1,weekend,35226.0
286,1,total,117677.0
286,1,weekday,98546.5
286,1,weekend,19130.5
287,1,total,75745.0
287,1,weekday,65828.0
287,1,weekend,9917.0
288,1,total,150404.0
288,1,weekday,125898.0
288,1,weekend,24506.0
289,1,total,227197.5
289,1,weekday,190109.0
289,1,weekend,37088.5
290,1,total,133740.0
290,1,weekday,114159.5
290,1,weekend,19580.5
291,1,total,125962.5
291,1,weekday,108359.0
291,1,weekend,17603.5
292,1,total,143459.0
292,1,weekday,120905.5
292,1,weekend,22553.5
293,1,total,180655.0
293,1,weekday,155527.0
293,1,weekend,25128.0
294,1,total,76143.0
294,1,weekday,63129.0
294,1,weekend,13014.0
295,1,total,249363.5
295,1,weekday,209413.0
295,1,weekend,39950.5
296,1,total,134804.5
296,1,weekday,110946.5
296,1,weekend,23858.0
297,1,total,48685.5
297,1,weekday,41166.5
297,1,weekend,7519.0
298,1,total,162826.0
298,1,weekday,132474.5
298,1,weekend,30351.5
299,1,total,182785.5
299,1,weekday,148360.0
299,1,weekend,34425.5
300,1,total,211454.5
300,1,weekday,173323.5
300,1,weekend,38131.0
301,1,total,299997.0
301,1,weekday,243997.0
301,1,weekend,56000.0
303,1,total,304799.0
303,1,weekday,246353.0
303,1,weekend,58446.0
304,1,total,255527.0
304,1,weekday,203187.0
304,1,weekend,52340.0
305,1,total,324293.5
305,1,weekday,268313.5
305,1,weekend,55980.0
306,1,total,193980.0
306,1,weekday,158017.0
306,1,weekend,35963.0
307,1,total,333904.0
307,1,weekday,287686.0
307,1,weekend,46218.0
308,1,total,313281.5
308,1,weekday,256398.0
308,1,weekend,56883.5
309,1,total,328123.5
309,1,weekday,266053.0
309,1,weekend,62070.5
310,1,total,945484.0
310,1,weekday,774082.0
310,1,weekend,171402.0
311,1,total,496891.0
311,1,weekday,408553.0
311,1,weekend,88338.0
312,1,total,404374.0
312,1,weekday,324808.0
312,1,weekend,79566.0
313,1,total,1010697.5
313,1,weekday,818338.0
313,1,weekend,192359.5
314,1,total,612136.0
314,1,weekday,504200.0
314,1,weekend,107936.0
316,1,total,647962.5
316,1,weekday,550663.0
316,1,weekend,97299.5
318,1,total,2103996.0
318,1,weekday,1832422.5
318,1,weekend,271573.5
319,1,total,347743.5
319,1,weekday,302767.5
319,1,weekend,44976.0
320,1,total,381014.0
320,1,weekday,314892.5
320,1,weekend,66121.5
321,1,total,223538.0
321,1,weekday,190480.0
321,1,weekend,33058.0
323,1,total,254168.0
323,1,weekday,196495.0
323,1,weekend,57673.0
324,1,total,360796.0
324,1,weekday,326025.0
324,1,weekend,34771.0
325,1,total,150263.0
325,1,weekday,134427.0
325,1,weekend,15836.0
326,1,total,144060.0
326,1,weekday,127339.0
326,1,weekend,16721.0
327,1,total,464251.5
327,1,weekday,421059.0
327,1,weekend,43192.5
328,1,total,313887.0
328,1,weekday,271675.0
328,1,weekend,42212.0
329,1,total,218722.5
329,1,weekday,187512.5
329,1,weekend,31210.0
333,1,total,542104.5
333,1,weekday,521414.0
333,1,weekend,20690.5
334,1,total,121056.5
334,1,weekday,108968.5
334,1,weekend,12088.0
336,1,total,165745.0
336,1,weekday,151904.5
336,1,weekend,13840.5
337,1,total,257241.5
337,1,weekday,219846.0
337,1,weekend,37395.5
339,1,total,99296.0
339,1,weekday,83884.0
339,1,weekend,15412.0
340,1,total,187218.0
340,1,weekday,160335.0
340,1,weekend,26883.0
341,1,total,113852.0
341,1,weekday,91365.5
341,1,weekend,22486.5
343,1,total,107111.0
343,1,weekday,85051.0
343,1,weekend,22060.0
344,1,total,120932.5
344,1,weekday,101221.5
344,1,weekend,19711.0
345,1,total,633691.5
345,1,weekday,545588.0
345,1,weekend,88103.5
346,1,total,169871.5
346,1,weekday,145514.0
346,1,weekend,24357.5
347,1,total,129719.0
347,1,weekday,112159.5
347,1,weekend,17559.5
348,1,total,119668.0
348,1,weekday,102115.0
348,1,weekend,17553.0
349,1,total,52003.0
349,1,weekday,43893.0
349,1,weekend,8110.0
350,1,total,111420.5
350,1,weekday,95622.5
350,1,weekend,15798.0
351,1,total,71770.5
351,1,weekday,61804.0
351,1,weekend,9966.5
352,1,total,146881.5
352,1,weekday,126117.0
352,1,weekend,20764.5
353,1,total,94846.5
353,1,weekday,85604.0
353,1,weekend,9242.5
354,1,total,139189.0
354,1,weekday,122907.5
354,1,weekend,16281.5
355,1,total,173960.0
355,1,weekday,158698.0
355,1,weekend,15262.0
356,1,total,222989.5
356,1,weekday,198155.0
356,1,weekend,24834.5
357,1,total,104094.5
357,1,weekday,92491.5
357,1,weekend,11603.0
358,1,total,177064.0
358,1,weekday,158347.0
358,1,weekend,18717.0
359,1,total,459396.5
359,1,weekday,417950.0
359,1,weekend,41446.5
360,1,total,172835.5
360,1,weekday,149857.0
360,1,weekend,22978.5
361,1,total,92586.5
361,1,weekday,81798.0
361,1,weekend,10788.5
362,1,total,50670.5
362,1,weekday,45182.0
362,1,weekend,5488.5
363,1,total,148993.5
363,1,weekday,131022.5
363,1,weekend,17971.0
