puma,month,entries,exits
4301,6,3344035.3333333335,2508466.3333333335
4301,7,3142145.3333333335,2368882.333333333
4301,8,3153371.3333333335,2332234.333333333
4301,9,3212977.6666666665,2353947.6666666665
4301,10,3431079.3333333335,2460377.6666666665
4301,11,3171430.6666666665,2303772.6666666665
4301,12,3019264.666666667,2258262.3333333335
4302,1,4737689.333333333,3025392.666666667
4302,2,4596365.666666667,2899297.6666666665
4302,3,5229126.333333334,3291065.333333333
4302,4,5097289.333333334,3275747.3333333335
4302,5,5384287.0,3438463.3333333335
4302,6,4993919.333333333,3270167.6666666665
4302,7,4712198.333333333,3157303.0
4302,8,4788538.0,3223188.666666667
4302,9,5064540.666666666,3363439.0
4302,10,5570566.666666667,3655849.0
4302,11,5036487.666666667,3301556.0
4302,12,4741916.666666667,3166424.0
4303,1,2129528.3333333335,1439098.0
4303,2,2028961.6666666667,1356317.0
4303,3,2302002.3333333335,1548968.0
4303,4,2203381.0,1506341.0
4303,5,2356675.6666666665,1602172.3333333333
4303,6,2241646.0,1548773.3333333333
4303,7,2157096.6666666665,1534843.6666666665
4303,8,2196389.6666666665,1552077.3333333333
4303,9,2212114.0,1552047.0
4303,10,2413029.0,1670939.6666666667
4303,11,2214373.6666666665,1539341.6666666667
4303,12,2087480.3333333333,1467773.3333333333
4304,1,1920536.0,1018351.3333333334
4304,2,1771963.3333333333,943826.3333333334
4304,3,2036840.0,1074709.0
4304,4,1990102.6666666667,1041261.6666666666
4304,5,2028918.0,1086169.6666666667
4304,6,1960629.0,1056910.6666666667
4304,7,1915684.6666666667,1051148.0
4304,8,1931591.0,1064278.6666666667
4304,9,1973578.6666666667,1077051.0
4304,10,2066688.3333333335,1111048.6666666667
4304,11,1920559.0,1034982.3333333334
4304,12,1903341.3333333335,1018567.6666666666
4305,1,1576694.3333333335,1214051.3333333333
4305,2,1456890.3333333333,1115277.0
4305,3,1666504.3333333333,1257929.6666666667
4305,4,1610002.0,1226615.0
4305,5,1722730.6666666667,1307632.6666666667
4305,6,1601222.0,1254963.3333333333
4305,7,1547603.3333333335,1230631.6666666665
4305,8,1561329.6666666667,1241861.6666666667
4305,9,1610091.3333333333,1267356.3333333333
4305,10,1744275.6666666667,1360975.3333333333
4305,11,1624011.0,1264303.3333333335
4305,12,1559619.3333333333,1218542.3333333333
4306,1,2809803.3333333335,2189963.6666666665
4306,2,2577628.6666666665,2034472.0
4306,3,2971769.0,2330989.3333333335
4306,4,2852422.6666666665,2219387.666666667
4306,5,3010492.0,2325200.0
4306,6,2884581.6666666665,2278145.3333333335
4306,7,2578323.0,2129066.6666666665
4306,8,2593726.6666666665,2147016.3333333335
4306,9,2759903.0,2186484.0
4306,10,3127145.3333333335,2469244.6666666665
4306,11,2901370.3333333335,2297616.333333333
4306,12,2764517.0,2214995.3333333335
4307,1,1908296.6666666665,1253754.6666666667
4307,2,1754580.3333333333,1150166.3333333333
4307,3,2004700.3333333335,1315197.3333333335
4307,4,1938906.3333333335,1284474.6666666667
4307,5,2101787.6666666665,1385749.0
4307,6,1935334.6666666667,1313956.3333333335
4307,7,1828490.6666666667,1264532.0
4307,8,1815577.6666666665,1297333.0
4307,9,1901831.0,1390312.0
4307,10,2131928.6666666665,1505053.6666666665
4307,11,1945790.6666666665,1362929.6666666667
4307,12,1908760.6666666667,1361380.3333333335
4308,1,314167.3333333333,301692.6666666667
4308,2,280609.3333333333,266045.3333333333
4308,3,331500.6666666667,310298.6666666667
4308,4,322540.0,311578.3333333334
4308,5,342008.6666666667,331300.6666666667
4308,6,328552.0,315830.3333333334
4308,7,299279.3333333334,291242.0
4308,8,296842.6666666667,290378.0
4308,9,311898.6666666666,298412.3333333334
4308,10,322275.3333333333,307353.6666666667
4308,11,285384.3333333334,273744.0
4308,12,287219.3333333333,275931.6666666666
4309,1,2084025.0,1528106.0
4309,2,1967781.3333333333,1446414.6666666667
4309,3,2235350.0,1640881.6666666667
4309,4,2167966.0,1600540.3333333335
4309,5,2296562.3333333335,1707576.3333333333
4309,6,2163155.6666666665,1609647.3333333333
4309,7,2006429.0,1502339.6666666667
4309,8,2042213.3333333333,1525229.0
4309,9,2143773.3333333335,1586518.3333333333
4309,10,2293020.0,1683809.0
4309,11,2077531.0,1529256.0
4309,12,2011307.6666666665,1476132.6666666667
4310,1,770298.6666666666,412380.0
4310,2,725975.3333333334,394736.6666666666
4310,3,838826.6666666666,454430.3333333334
4310,4,792021.3333333334,422031.3333333333
4310,5,781605.3333333334,411617.0
4310,6,731924.3333333334,377309.3333333333
4310,7,674752.6666666667,353706.0
4310,8,683143.3333333334,372530.3333333334
4310,9,721555.6666666666,399554.6666666667
4310,10,903110.3333333333,537632.0
4310,11,785974.6666666666,429936.6666666667
4310,12,789502.6666666667,457932.3333333333
4311,1,1581259.3333333333,832076.0
4311,2,1446900.3333333333,775434.3333333334
4311,3,1629919.0,836419.6666666666
4311,4,1510463.0,782383.0
4311,5,1648364.3333333333,820802.3333333334
4311,6,1569188.3333333333,799048.6666666666
4311,7,1546880.6666666667,829410.3333333334
4311,8,1565535.6666666667,828264.0
4311,9,1609093.3333333333,855254.3333333333
4311,10,1713354.6666666667,914705.0
4311,11,1601088.0,856454.6666666666
4311,12,1600679.3333333333,841383.3333333334
4312,1,978112.6666666667,622305.3333333333
4312,2,913151.3333333334,583364.3333333334
4312,3,1030927.0,664473.0
4312,4,965005.0,619825.3333333334
4312,5,1058052.3333333333,715336.3333333334
4312,6,978798.3333333333,679103.3333333334
4312,7,937947.6666666667,668620.0
4312,8,969023.3333333334,652119.3333333334
4312,9,1017278.0,654950.3333333334
4312,10,1115992.3333333333,688250.3333333334
4312,11,1072240.0,652899.3333333334
4312,12,1025165.0,623268.6666666666
4313,1,897932.0,598386.0
4313,2,835041.0,559449.6666666666
4313,3,977831.6666666667,648365.0
4313,4,1015051.0,687802.6666666667
4313,5,1161926.3333333333,775989.3333333333
4313,6,1247170.3333333335,847707.0
4313,7,1329395.6666666667,903119.6666666666
4313,8,1251786.0,868859.3333333333
4313,9,1071394.0,741744.0
4313,10,1079593.0,740595.6666666666
4313,11,929124.6666666666,617384.0
4313,12,884242.0,588670.3333333334
4314,1,1877456.3333333335,1320100.6666666667
4314,2,1781632.6666666667,1236033.6666666667
