complex_id,station_name,year,month,entries,exits
3,"30 Av (N,W)",2018,9,345725.0,304023.0
3,"30 Av (N,W)",2018,10,466446.0,393516.0
3,"30 Av (N,W)",2018,11,407988.0,355018.0
3,"30 Av (N,W)",2018,12,361687.0,320843.0
3,"30 Av (N,W)",2019,1,400290.0,358297.0
3,"30 Av (N,W)",2019,2,287333.0,238336.0
3,"30 Av (N,W)",2019,3,380030.0,291212.0
3,"30 Av (N,W)",2019,4,455573.0,334350.0
3,"30 Av (N,W)",2019,5,517125.0,386651.0
3,"30 Av (N,W)",2019,6,443065.0,322269.0
3,"30 Av (N,W)",2019,7,419391.0,306841.0
3,"30 Av (N,W)",2019,8,468342.0,326802.0
3,"30 Av (N,W)",2019,9,484123.0,351087.0
3,"30 Av (N,W)",2019,10,486835.0,336924.0
3,"30 Av (N,W)",2019,11,479105.0,351097.0
3,"30 Av (N,W)",2019,12,430316.0,325653.0
4,"Broadway (N,W)",2015,1,329715.0,267231.0
4,"Broadway (N,W)",2015,2,317106.0,254611.0
4,"Broadway (N,W)",2015,3,373790.0,305230.0
4,"Broadway (N,W)",2015,4,368386.0,301815.0
4,"Broadway (N,W)",2015,5,371709.0,299524.0
4,"Broadway (N,W)",2015,6,364912.0,281468.0
4,"Broadway (N,W)",2015,7,361788.0,273787.0
4,"Broadway (N,W)",2015,8,358173.0,277695.0
4,"Broadway (N,W)",2015,9,365564.0,285806.0
4,"Broadway (N,W)",2015,10,394330.0,304030.0
4,"Broadway (N,W)",2015,11,356174.0,280248.0
4,"Broadway (N,W)",2015,12,367055.0,283744.0
4,"Broadway (N,W)",2016,1,336136.0,261517.0
4,"Broadway (N,W)",2016,2,333823.0,257675.0
4,"Broadway (N,W)",2016,3,372751.0,286429.0
4,"Broadway (N,W)",2016,4,362394.0,275826.0
4,"Broadway (N,W)",2016,5,375290.0,274419.0
4,"Broadway (N,W)",2016,6,363892.0,276969.0
4,"Broadway (N,W)",2016,7,325802.0,251059.0
4,"Broadway (N,W)",2016,8,344996.0,263985.0
4,"Broadway (N,W)",2016,9,356403.0,260486.0
4,"Broadway (N,W)",2016,10,360102.0,266542.0
4,"Broadway (N,W)",2016,11,344020.0,257258.0
4,"Broadway (N,W)",2016,12,338237.0,263214.0
4,"Broadway (N,W)",2017,1,329007.0,267456.0
4,"Broadway (N,W)",2017,2,308647.0,249310.0
4,"Broadway (N,W)",2017,3,341355.0,269873.0
4,"Broadway (N,W)",2017,4,339168.0,257444.0
4,"Broadway (N,W)",2017,5,312357.0,237081.0
4,"Broadway (N,W)",2017,6,324725.0,249558.0
4,"Broadway (N,W)",2017,7,320714.0,248579.0
4,"Broadway (N,W)",2017,8,279947.0,212366.0
4,"Broadway (N,W)",2017,9,278131.0,208577.0
4,"Broadway (N,W)",2017,10,376210.0,279688.0
4,"Broadway (N,W)",2017,11,460089.0,303019.0
4,"Broadway (N,W)",2017,12,411613.0,281495.0
4,"Broadway (N,W)",2018,1,430782.0,257833.0
4,"Broadway (N,W)",2018,2,394753.0,251947.0
4,"Broadway (N,W)",2018,3,418181.0,256425.0
