complex_id,month,entries,exits
620,2,870310.0,562881.4
621,2,243644.8,213667.2
622,2,696462.0,591743.4
623,2,1118083.4,842285.0
624,2,1528361.6,981047.8
625,2,626140.2,479473.2
626,2,295564.2,237039.2
627,2,161691.6,161330.6
628,2,1858438.6,1590445.2
629,2,383470.8,181884.2
630,2,515893.0,313930.6
635,2,674115.2,623599.0
636,2,1048084.6,607145.8
271,2,366128.4,266524.4
272,2,109159.0,76763.0
273,2,256867.8,230107.4
276,2,559652.4,609836.2
277,2,390408.4,441460.0
278,2,1091271.4,941874.8
279,2,553841.4,461875.4
280,2,142705.2,140605.2
282,2,44707.2,47320.4
283,2,238452.6,168228.4
284,2,229828.2,140920.0
286,2,111497.6,88381.0
287,2,70878.4,71519.4
288,2,146655.8,77225.6
289,2,214464.8,117355.6
290,2,130435.4,125092.4
291,2,134803.0,17206.0
292,2,134636.4,106725.0
293,2,168092.4,69188.8
294,2,94705.0,4652.25
295,2,224908.8,35733.8
296,2,131098.8,29948.2
297,2,46316.0,17818.0
298,2,153867.8,71187.4
299,2,168006.4,93486.6
300,2,198719.0,213998.8
301,2,284714.0,287959.0
303,2,268469.4,182027.6
304,2,240858.4,181374.4
305,2,347962.8,277359.8
306,2,185973.8,188637.6
307,2,402328.0,200012.2
308,2,306799.0,161434.4
309,2,311015.4,152215.4
310,2,972162.4,938765.8
311,2,480080.8,465017.4
312,2,394273.4,202563.8
313,2,963561.4,823000.8
314,2,592463.4,531129.2
316,2,595022.8,568191.0
318,2,2070743.0,1728900.0
319,2,355470.8,229722.4
320,2,362597.0,292215.8
321,2,208106.8,128217.6
323,2,238925.6,209752.2
324,2,346212.2,223571.2
325,2,141539.6,125836.0
326,2,136760.6,86171.2
327,2,531024.6,452655.6
328,2,315739.0,248935.0
329,2,213338.8,121262.6
333,2,561780.8,541714.2
334,2,133685.8,74594.0
336,2,174549.4,148934.4
337,2,255648.8,243736.4
339,2,95293.0,77257.8
340,2,182306.0,70087.2
341,2,118513.0,110314.4
343,2,103893.0,103514.6
344,2,120992.4,99734.0
345,2,675760.2,490424.6
346,2,169338.66666666666,148531.33333333334
347,2,148022.4,107756.6
348,2,123522.33333333333,128377.66666666667
349,2,52206.333333333336,46609.333333333336
350,2,106570.2,35061.2
351,2,89703.66666666667,94111.66666666667
352,2,153312.6,124396.8
353,2,100476.6,109830.2
354,2,141923.4,89739.4
355,2,173778.8,37906.8
356,2,237076.0,55458.2
357,2,107333.0,20610.0
358,2,185172.2,121544.2
359,2,463323.0,267244.2
360,2,168554.6,99122.0
361,2,68322.6,64774.8
362,2,56502.2,53642.6
363,2,151601.8,136193.6
364,2,49383.4,45177.6
365,2,167116.4,163766.0
366,2,382812.8,393622.0
367,2,100191.2,94143.8
368,2,158124.8,133938.2
369,2,159154.8,151968.4
370,2,44670.2,43612.6
371,2,250176.8,196593.2
372,2,82760.6,72386.0
373,2,116465.6,105560.2
374,2,22964.0,25171.2
375,2,93010.2,62389.2
376,2,151353.8,133379.8
377,2,193801.0,136371.6
378,2,170589.4,39587.8
379,2,206560.0,63852.2
380,2,135744.6,101649.4
381,2,235057.6,123723.4
382,2,275797.4,56418.8
383,2,150707.0,80194.4
384,2,272687.8,149967.6
385,2,141162.0,76511.2
